,url,headline,rating,date
25,/factchecks/2021/feb/25/facebook-posts/facebook-posts-blaming-biden-insulin-prices-miss-m/,Insulin prices rose “with the swipe of (Joe Biden’s) pen.”,false,25-02-2021
26,/factchecks/2021/feb/25/act-america/group-makes-bogus-attack-hr-1-over-congressional-s/,"HR 1 will allow members of Congress to draw a second salary “worth an estimated $600,000 per year!”",false,25-02-2021
27,/factchecks/2021/feb/25/facebook-posts/mars-clip-was-taken-2019-panoramic-image-and-doesn/,Says a video captures sound from the surface of Mars,false,25-02-2021
28,/factchecks/2021/feb/25/glenn-beck/no-biden-not-separating-families-entering-country/,"“Just for the record, the Biden Administration IS separating children and parents.”",false,25-02-2021
29,/factchecks/2021/feb/25/tom-wolf/fact-checking-gov-tom-wolfs-statement-pa-only-stat/,“We’re the only major gas-producing state in the US that doesn’t have a severance tax.”,true,25-02-2021
0,/factchecks/2021/feb/25/facebook-posts/no-biden-didnt-cancel-child-sex-ring-operation-sta/,"Says President Joe Biden canceled Trump’s “child sex ring operation, which saw thousands of arrests last year.”",false,25-02-2021
1,/factchecks/2021/feb/25/jb-pritzker/illinois-outpacing-other-large-states-vaccinations/,"“For the month of February, Illinois has been the vaccination leader among the 10 most populous states in the country.”",half-true,25-02-2021
2,/factchecks/2021/feb/25/facebook-posts/no-capitol-security-not-only-pelosis-responsibilit/,"Only Nancy Pelosi is “responsible for what happened at the Capitol” on Jan. 6, “security at the Capitol is her job.”",barely-true,25-02-2021
3,/factchecks/2021/feb/25/youtube-videos/misleading-video-takes-pelosi-out-context-smear-ta/,Nancy Pelosi explains how Democrats demonize political opponents through the “wrap-up smear.”,pants-fire,25-02-2021
4,/factchecks/2021/feb/24/facebook-posts/no-coca-colas-ceo-didnt-say-about-conservatives/,"Says Coca-Cola CEO James Quincey said, “A few right winged nuts won’t affect our bottom line.”",false,24-02-2021
5,/factchecks/2021/feb/24/viral-image/no-joe-biden-didnt-tweet-about-coca-cola-and-minor/,"Says Joe Biden tweeted, “the way white people talk leaving minorities confused.”",pants-fire,24-02-2021
6,/factchecks/2021/feb/24/lara-logan/fox-nation-hosts-unsupported-claim-helicopters-spr/,"""The reality"" in Texas is that ""you’re flying helicopters, using fossil fuels, to put oil on wind turbines to defrost them.”",false,24-02-2021
7,/factchecks/2021/feb/24/viral-image/no-isnt-real-photo-earth-venus-and-jupiter-mars/,"Photo shows “Earth, Venus and Jupiter as seen from Mars.”",false,24-02-2021
8,/factchecks/2021/feb/24/facebook-posts/yes-oil-about-61-barrel-it-rose-about-50-jan-5-not/,"“Oil is now $61.30 a barrel and rising drastically! On Jan. 5, it was about $25 a barrel.”",false,24-02-2021
9,/factchecks/2021/feb/24/facebook-posts/dont-waste-your-time-you-cant-block-facebooks-comm/,Facebook users can avoid “problems with your Facebook going against community standards” by changing your settings.,pants-fire,24-02-2021
10,/factchecks/2021/feb/24/viral-image/no-isnt-nancy-pelosis-house/,“Nancy Pelosi has invited all illegals to her mansion at 2724 Pacific Ave San Francisco CA.”,false,24-02-2021
11,/factchecks/2021/feb/23/tucker-carlson/tucker-carlsons-false-claim-downplaying-role-white/,"""There's no evidence that white supremacists were responsible for what happened on Jan. 6. That's a lie.”",false,23-02-2021
12,/factchecks/2021/feb/23/students-trump/no-biden-executive-order-did-not-allow-china-acces/,“Joe Biden is handing our power grid to the Chinese Communist Party.”,false,23-02-2021
13,/factchecks/2021/feb/23/sarah-godlewski/child-care-costs-are-high-godlewskis-stat-lacks-nu/,"“On average, 17% of a family’s income goes towards child care in Wisconsin.”",half-true,23-02-2021
14,/factchecks/2021/feb/23/viral-image/looking-why-coal-powered-closed-texas/,“Monticello power plant just outside of Pittsburg TX has been closed since 2018 because of renewable energy.”,barely-true,23-02-2021
15,/factchecks/2021/feb/23/facebook-posts/goldman-sachs-doesnt-oversee-texas-utilities/,"“Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.”",barely-true,23-02-2021
16,/factchecks/2021/feb/23/ron-desantis/desantis-advances-questionable-link-between-lockdo/,"The result of lockdowns “has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.”
",barely-true,23-02-2021
17,/factchecks/2021/feb/23/viral-image/vacccines-are-up-cases-are-down-facebook-post/,“COVID-19 infections down 61% from Trump’s last day. COVID-19 vaccinations up 85% from Trump’s last day. Competence Matters.”,mostly-true,23-02-2021
18,/factchecks/2021/feb/23/facebook-posts/no-utah-isnt-recalling-romney/,“Utah OFFICIALLY starts RECALL for Mitt Romney.”,false,23-02-2021
19,/factchecks/2021/feb/23/steve-scalise/has-1-trillion-covid-19-relief-gone-unspent/,“There's over a trillion dollars of money unspent from previous (coronavirus) relief bills ... still sitting in a bank account.”,half-true,23-02-2021
20,/factchecks/2021/feb/22/viral-image/no-jill-biden-wasnt-teenage-babysitter-joe-bidens-/,Jill Biden was a teenage babysitter for Joe Biden’s family.,false,22-02-2021
21,/factchecks/2021/feb/22/infowars/biden-administration-did-not-block-texas-increasin/,“Joe Biden’s Dept. of Energy Blocked Texas from Increasing Power Ahead of Killer Storm”,pants-fire,22-02-2021
