,url,headline,details,date
1,https://www.factcheck.org/2021/01/factchecking-the-georgia-senate-runoffs/,FactChecking the Georgia Senate Runoffs,We recap the facts behind the claims made in some of the many attack ads released by the campaigns and outside groups in Georgia’s two Senate runoff elections. ,04-01-2021
2,https://www.factcheck.org/2020/12/our-most-popular-posts-in-2020/,Our Most Popular Posts in 2020,"As 2020 draws to an end, we present the 10 most popular stories on our website this year.",31-12-2020
3,https://www.factcheck.org/2020/12/perdues-shaky-claim-of-a-nonexistent-investigation/,Perdue’s Shaky Claim of a Nonexistent ‘Investigation’,"A TV ad from Republican Sen. David Perdue’s campaign claims a supposed “China scandal” involving his challenger, Democrat Jon Ossoff, “keeps getting worse.” But it’s the distortions of the facts that are getting worse, not any “scandal.”",23-12-2020
4,https://www.factcheck.org/2020/12/a-guide-to-modernas-covid-19-vaccine/,A Guide to Moderna’s COVID-19 Vaccine,"Moderna’s mRNA vaccine is the second COVID-19 vaccine authorized for use in the U.S. Here, we give a rundown of basic facts about the vaccine and an overview of how it works.",22-12-2020
5,https://www.factcheck.org/2020/12/trumps-border-wall-where-does-it-stand/,Trump’s Border Wall: Where Does It Stand?,"In the final weeks of his presidency, President Donald Trump has returned to the signature issue that brought him to the White House — his pledge to build “a beautiful, gorgeous, big wall” on the southern border.",22-12-2020
6,https://www.factcheck.org/2020/12/audit-in-michigan-county-refutes-dominion-conspiracy-theory/,Audit in Michigan County Refutes Dominion Conspiracy Theory,"A hand count of paper ballots in Antrim County, Michigan, has verified the election results there, refuting a “forensics report” promoted by President Donald Trump that baselessly claimed the election equipment in the county was “designed” to create “systemic fraud and influence election results.” Experts said the faulty report showed a misunderstanding of voting system technology.",18-12-2020
7,https://www.factcheck.org/2020/12/qa-on-covid-19-vaccines/,Q&A on COVID-19 Vaccines,"Two COVID-19 vaccines are now authorized in the U.S. and more are likely to follow. In this story, we answer some common questions about the shots.",18-12-2020
8,https://www.factcheck.org/2020/12/our-annual-fundraising-appeal-2/,Our Annual Fundraising Appeal,Please consider a donation to FactCheck.org and join us in the fight against misinformation.,18-12-2020
9,https://www.factcheck.org/2020/12/the-whoppers-of-2020/,The Whoppers of 2020,Our list of the 10 most egregious falsehoods of the year.,18-12-2020
0,https://www.factcheck.org/2020/12/cherry-picked-pay-raise-attacks-on-perdue/,Cherry-Picked Pay-Raise Attacks on Perdue,A Democratic super PAC cherry-picks from huge appropriations bills that Georgia Republican Sen. David Perdue opposed in order to accuse him of trying to increase his own pay while rejecting pay increases for the military.,17-12-2020
