,url,headline,date,time
9,https://factcheck.afp.com/man-assaulted-portland-black-lives-matter-protest-did-not-die,Man assaulted at Portland Black Lives Matter protest did not die,20-08-2020,17:04
10,https://factcheck.afp.com/new-plandemic-film-promotes-coronavirus-conspiracy-theory,New ‘Plandemic’ film promotes coronavirus conspiracy theory,21-08-2020,00:11
11,https://factcheck.afp.com/photo-large-crowd-shows-black-lives-matter-protest-not-mail-vote-rally,"Photo of large crowd shows Black Lives Matter protest, not mail-in vote rally",18-08-2020,23:38
12,https://factcheck.afp.com/kamala-harris-does-not-oppose-gun-ownership-or-second-amendment,Kamala Harris does not oppose gun ownership or the Second Amendment,20-08-2020,03:31
13,https://factcheck.afp.com/george-floyd-did-not-die-drug-overdose,George Floyd did not die of a drug overdose,18-08-2020,22:42
14,https://factcheck.afp.com/us-postal-service-union-did-not-produce-ad-saying-fascism-wont-stop-mail,US postal service union did not produce ad saying fascism won’t stop the mail,17-08-2020,17:02
0,https://factcheck.afp.com/face-mask-use-does-not-lead-legionnaires-disease,Face mask use does not lead to Legionnaires’ disease,14-08-2020,21:51
1,https://factcheck.afp.com/conspiracy-theory-falsely-links-obama-sexual-misconduct,Conspiracy theory falsely links Obama to sexual misconduct,14-08-2020,19:44
2,https://factcheck.afp.com/hoax-returns-moon-and-mars-will-not-appear-equal-size-night-sky,Hoax returns: Moon and Mars will not appear of equal size in night sky,14-08-2020,18:02
3,https://factcheck.afp.com/us-presidents-can-spend-tax-dollars-executive-orders,US presidents can spend tax dollars with executive orders,13-08-2020,22:40
4,https://factcheck.afp.com/us-far-reaching-herd-immunity-covid-19,US far from reaching herd immunity for COVID-19,13-08-2020,21:35
5,https://factcheck.afp.com/fabricated-kamala-harris-quote-resurfaces-after-vp-announcement,Fabricated Kamala Harris quote resurfaces after VP announcement,12-08-2020,23:01
6,https://factcheck.afp.com/photo-used-criticize-kamala-harris-does-not-show-her-parents,Photo used to criticize Kamala Harris does not show her parents,12-08-2020,22:56
7,https://factcheck.afp.com/foreign-born-parents-not-obstacle-kamala-harris-becoming-president,Foreign-born parents not an obstacle to Kamala Harris becoming president,17-09-2020,20:41
8,https://factcheck.afp.com/comments-coronavirus-measures-falsely-attributed-fox-news-host-tucker-carlson,Comments on coronavirus measures falsely attributed to Fox News host Tucker Carlson,02-09-2020,16:28
9,https://factcheck.afp.com/discredited-scientific-paper-behind-false-claims-covid-5g-link,Discredited scientific paper behind false claims on COVID-5G link,02-09-2020,16:28
10,https://factcheck.afp.com/social-distancing-effect-john-lewis-funeral,Social distancing in effect at John Lewis funeral,07-08-2020,22:56
11,https://factcheck.afp.com/trump-campaign-ad-features-doctored-images-biden,Trump campaign ad features doctored images of Biden,07-08-2020,17:20
12,https://factcheck.afp.com/beirut-blast-was-not-nuclear-explosion,Beirut blast was not a nuclear explosion,07-08-2020,18:09
13,https://factcheck.afp.com/tweets-israeli-pms-account-referred-syria-strikes-not-beirut-blast,"Tweets from Israeli PM’s account referred to Syria strikes, not Beirut blast",05-08-2020,21:01
14,https://factcheck.afp.com/members-congress-did-not-receive-quarantine-exemption-john-lewiss-funeral,Members of Congress did not receive quarantine exemption for John Lewis’s funeral,05-08-2020,00:12
0,https://factcheck.afp.com/joe-biden-does-not-own-island-next-sex-offender-jeffrey-epsteins-hideaway,Joe Biden does not own island next to sex offender Jeffrey Epstein’s hideaway,31-07-2020,20:08
